
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Nightsweats & T-cells,,,,,,,,"AboutNightsweats & T-Cells provides custom screenprinting and design work for AIDS service organizations, special events and mainstream businesses.We offer a quality product at competitive prices and still believe that what we are doing is as radical today as it was 20 years ago when we first started employing people who had been turned away from traditional employment optionsThe employees of Nightsweats & T-cells choose not to go home and dutifully wait to die. We believe that while we remain c",,,
Out In Tech,,,,,,,,,,,
O'Flanagan All-Purpose Services LLC,,,,,,,,"AboutOur Mission is to make useful software tools using intelligent engineering that uplift humanity; are kind to other humans, animals and the environment; are safe, ethical, and moral; are safe, and of the highest technical quality.",,,
Open Arms Adoptions,,,,,,,,"AboutOpen Arms Adoptions’ mission is to provide a loving, stable home to every child in need. We work tirelessly to create an environment that embraces the unique set of circumstances each of our birth parents, prospective adoptive parents and children bring to us. Our goal is to create families who can successfully meet the long-term needs of our nation’s unseen children. All our social workers are sensitive to the different needs and issues that those in the LGBTQ+ community face. The fact is,",,,
Oswald Companies,,,,,,amcnutt@oswaldcompanies.com,,"AboutFounded in 1893, Cleveland-based and employee-owned, Oswald is one of the nation’s largest independent insurance brokerage and risk management firms. A proud partner of Assurex Global.",,,
OverDrive,,,,,,,,AboutOverDrive is the leading digital reading platform for libraries and schools worldwide. We are dedicated to creating “a world enlightened by reading”.,,,
Old Stone Capital Partners LLC,,,,,,,,,,,
"Oasis Counseling Solutions, LLC",,,,,,,,"AboutAt Oasis Counseling Solutions, all of our clinicians believe that the client is the expert in their own lives and that our role is to offer support and guidance to meet the goals and make the changes you have set for yourself. Our goal is to listen, act and transform.",,,
Out Fitness Collective,,,,,,,,"AboutOut Fitness Collective is a queer and allied community that shares affordable fitness programs and a private studio in Cleveland's Detroit Shoreway neighborhood. We practice strength, endurance, and self-care to feel powerful in our own bodies.Our pay-as-you-go model keeps costs lower than a standard gym while providing a more welcoming and comfortable environment. Your additional donations help us cover our monthly expenses and care for our studio.STUDIO BENEFITS:-Private studio with secur",,,
Old Brooklyn Community Development Corporation,,,,,,,,"AboutA neighborhood is more than a collection of buildings.It is home. Pulsing with pride. Thriving for business. Respite in worship. Revelatory in nature.Old Brooklyn is a neighborhood that offers you a chance to design, live, and discover.",,,
"Organizational Architecture, Inc.",,,,,,,,"AboutOrganizational Architecture is a veteran-owned Cleveland Ohio-based HR consulting firm founded in 2007 to provide organizations with human resources consulting and workforce strategy solutions that align with their organizational strategy.We have diverse experience with all Human Resources disciplines, and we are experienced with processes to support and reinforce these strategies.Our service lines include:> Human Resources consulting [compensation, benefits, training/development, organizat",,,
Oberlin College,,,,,,,,,,,
Out Fitness Collective,,,,,,,,"AboutOut Fitness Collective is a queer and allied community that shares affordable fitness programs and a private studio in Cleveland's Detroit Shoreway neighborhood. We practice strength, endurance, and self-care to feel powerful in our own bodies.Our pay-as-you-go model keeps costs lower than a standard gym while providing a more welcoming and comfortable environment. Your additional donations help us cover our monthly expenses and care for our studio.STUDIO BENEFITS:-Private studio with secur",,,
O'Flanagan All-Purpose Services LLC,,,,,,,,"AboutOur Mission is to make useful software tools using intelligent engineering that uplift humanity; are kind to other humans, animals and the environment; are safe, ethical, and moral; are safe, and of the highest technical quality.",,,
Old Brooklyn Community Development Corporation,,,,,,,,"AboutA neighborhood is more than a collection of buildings.It is home. Pulsing with pride. Thriving for business. Respite in worship. Revelatory in nature.Old Brooklyn is a neighborhood that offers you a chance to design, live, and discover.",,,
On Air Communications,,,,,,,,"AboutWe are a national wireless site development and consulting firm that provides project management, strategic site development, site acquisition, leasing, right-of-way (ROW), zoning and asset protection",,,
Out In Tech,,,,,,,,,,,
"Organizational Architecture, Inc.",,,,,,,,"AboutOrganizational Architecture is a veteran-owned Cleveland Ohio-based HR consulting firm founded in 2007 to provide organizations with human resources consulting and workforce strategy solutions that align with their organizational strategy.We have diverse experience with all Human Resources disciplines, and we are experienced with processes to support and reinforce these strategies.Our service lines include:> Human Resources consulting [compensation, benefits, training/development, organizat",,,
Oswald Companies,,,,,,amcnutt@oswaldcompanies.com,,"AboutFounded in 1893, Cleveland-based and employee-owned, Oswald is one of the nation’s largest independent insurance brokerage and risk management firms. A proud partner of Assurex Global.",,,
OverDrive,,,,,,,,AboutOverDrive is the leading digital reading platform for libraries and schools worldwide. We are dedicated to creating “a world enlightened by reading”.,,,
On Air Communications,,,,,,,,"AboutWe are a national wireless site development and consulting firm that provides project management, strategic site development, site acquisition, leasing, right-of-way (ROW), zoning and asset protection",,,
Open Arms Adoptions,,,,,,,,"AboutOpen Arms Adoptions’ mission is to provide a loving, stable home to every child in need. We work tirelessly to create an environment that embraces the unique set of circumstances each of our birth parents, prospective adoptive parents and children bring to us. Our goal is to create families who can successfully meet the long-term needs of our nation’s unseen children. All our social workers are sensitive to the different needs and issues that those in the LGBTQ+ community face. The fact is,",,,
Old Stone Capital Partners LLC,,,,,,,,,,,
PortoSpire,,,,,,,,"AboutPortoSpire's high-performing team of rock star specialists builds relationships with businesses to grow solid, unified, and highly visible web-based presences. Learn more about our services, benefits, and opportunities.",,,
Playhouse Square,,,,,,,,"AboutOne of Northeast Ohio’s brightest cultural gems, Playhouse Square is where memories are made, dreams are encouraged and excitement never stops. Entertainment is at the heart of what we do and through visionary leadership, Playhouse Square also has become the steward of its vibrant downtown district.We are proud to be one of Broadway’s premier touring partners, made possible by the region’s enthusiastic Broadway audiences - the largest community of season tickets holders in North America, sk",,,
Playhouse Square,,,,,,,,"AboutOne of Northeast Ohio’s brightest cultural gems, Playhouse Square is where memories are made, dreams are encouraged and excitement never stops. Entertainment is at the heart of what we do and through visionary leadership, Playhouse Square also has become the steward of its vibrant downtown district.We are proud to be one of Broadway’s premier touring partners, made possible by the region’s enthusiastic Broadway audiences - the largest community of season tickets holders in North America, sk",,,
